                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7063,                 3.8094,                 1.2276,                0.01555,                0.25317,                0.04459,                0.01485,                 1.4864,                 3.7426,                0.99151,                0.00015,                0.00015,                0.00015
                      2,                 1.5086,                   1.75,                 1.0487,                0.97449,                0.18406,                0.33604,                0.20545,                 1.4228,                 2.2642,                0.95692,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.3708,                 1.2056,                 1.0193,                0.96841,                0.19715,                0.28383,                0.19746,                 1.0273,                 1.8382,                0.92726,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.3222,                 1.1095,                 1.0161,                0.96722,                0.21419,                0.44377,                0.22585,                 1.3314,                 1.5957,                 1.0151,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.2655,                 1.0627,                  1.012,                0.97196,                0.37934,                0.41613,                 0.2607,                 1.2943,                 1.2526,                 1.0009,             0.00076832,             0.00076832,             0.00076832
                      6,                  1.182,                0.97332,                0.99526,                0.96373,                0.23384,                0.41958,                0.22839,                 1.2215,                 1.3574,                0.95541,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.2122,                 0.9808,                0.98038,                0.96173,                0.18935,                0.22227,                0.16666,                0.90635,                 1.2385,                0.91854,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.1973,                0.92773,                0.98533,                0.86444,                0.29911,                 0.3151,                0.20279,                 1.1228,                 1.3903,                0.94415,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1955,                0.95225,                0.98069,                0.98077,                0.21678,                0.25624,                0.20068,                0.81881,                 1.0372,                0.86719,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1641,                0.91668,                0.96787,                0.84519,                0.29386,                0.35288,                0.26942,                0.80755,                 1.0082,                0.86044,               0.001151,               0.001151,               0.001151
                     11,                 1.1218,                0.90961,                0.96783,                0.98131,                0.38643,                0.42571,                0.31024,                0.77097,                0.95312,                0.85907,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1436,                0.87803,                0.96895,                0.88903,                0.38731,                0.40549,                0.28729,                0.78474,                0.94866,                0.85995,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.1096,                0.85014,                0.94352,                0.97125,                 0.3948,                0.42623,                0.29089,                0.82194,                0.84768,                0.86547,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0518,                0.79038,                0.93105,                0.97297,                0.39532,                0.43056,                0.31495,                0.75793,                0.76945,                0.85529,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0974,                0.80922,                0.95363,                0.88225,                0.38625,                0.44479,                0.32714,                0.83135,                0.83868,                0.86246,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.1019,                0.81012,                0.95777,                0.95085,                0.38839,                0.44765,                0.29752,                0.95523,                0.77822,                0.88955,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0787,                0.80773,                0.94103,                0.96801,                0.38404,                0.45975,                0.31805,                0.77312,                 0.7314,                0.84882,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0615,                0.78555,                0.93628,                0.96386,                0.37959,                 0.5001,                0.37421,                0.74103,                0.66127,                0.84769,               0.001052,               0.001052,               0.001052
                     19,                 1.0234,                0.76331,                0.92597,                0.95886,                0.38541,                0.47596,                0.32841,                0.82344,                0.70652,                 0.8663,              0.0010396,              0.0010396,              0.0010396
                     20,                0.98451,                0.73459,                0.91863,                0.95292,                  0.399,                0.53768,                0.42494,                0.71488,                0.66496,                0.83884,              0.0010273,              0.0010273,              0.0010273
                     21,                0.95667,                0.70628,                0.91113,                0.98094,                0.48199,                0.54673,                0.42708,                0.76675,                   0.66,                0.84802,              0.0010149,              0.0010149,              0.0010149
                     22,                0.99365,                0.73236,                0.91259,                0.96921,                0.37828,                0.52482,                0.41313,                0.77089,                0.77643,                  0.849,              0.0010025,              0.0010025,              0.0010025
                     23,                0.99773,                0.72799,                0.91931,                0.95503,                0.38529,                0.56122,                0.44466,                0.68806,                0.65276,                0.83781,             0.00099013,             0.00099013,             0.00099013
                     24,                0.96318,                0.69339,                0.91332,                0.97456,                0.47536,                0.60734,                0.45964,                0.69345,                0.62812,                0.83481,             0.00097775,             0.00097775,             0.00097775
                     25,                0.96167,                 0.6857,                 0.9077,                0.98652,                0.46673,                0.60233,                0.50652,                0.67646,                0.59926,                0.83387,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0204,                0.70634,                0.92631,                 0.9719,                0.46976,                 0.6424,                0.49188,                0.74263,                0.62924,                0.84366,               0.000953,               0.000953,               0.000953
                     27,                0.95657,                0.67935,                0.91971,                0.65656,                0.59669,                0.63669,                0.48084,                0.68809,                0.63318,                0.83551,             0.00094062,             0.00094062,             0.00094062
                     28,                 0.9119,                0.65117,                0.90343,                0.89129,                0.58108,                0.67318,                0.49045,                0.69417,                0.55048,                0.83736,             0.00092825,             0.00092825,             0.00092825
                     29,                0.92992,                 0.6578,                0.91041,                0.89572,                0.60756,                 0.6627,                0.50945,                 0.7608,                0.61991,                0.85199,             0.00091588,             0.00091588,             0.00091588
                     30,                0.92115,                0.65557,                0.90628,                 0.7244,                 0.6267,                0.62725,                0.48812,                0.72163,                0.58335,                0.84559,              0.0009035,              0.0009035,              0.0009035
                     31,                0.91563,                0.63971,                0.90512,                0.80562,                0.66621,                0.73503,                0.59131,                0.67653,                0.54922,                0.83515,             0.00089112,             0.00089112,             0.00089112
                     32,                0.86488,                0.60974,                0.88662,                0.60855,                0.82596,                0.81607,                0.67554,                0.64304,                0.53032,                0.82516,             0.00087875,             0.00087875,             0.00087875
                     33,                0.88979,                0.62669,                0.89104,                0.65829,                0.82978,                0.78436,                0.60907,                 0.6782,                0.53152,                0.82977,             0.00086637,             0.00086637,             0.00086637
                     34,                0.86722,                0.59603,                0.89115,                0.88638,                0.76482,                0.84985,                0.70588,                0.64388,                0.49927,                0.82509,               0.000854,               0.000854,               0.000854
                     35,                0.88084,                0.61924,                0.88074,                 0.8112,                0.82274,                0.85634,                0.71221,                0.65085,                0.53935,                0.82624,             0.00084162,             0.00084162,             0.00084162
                     36,                0.88588,                0.60475,                0.88901,                0.75426,                0.83073,                0.86526,                0.70067,                0.70871,                 0.5071,                0.83794,             0.00082925,             0.00082925,             0.00082925
                     37,                0.84525,                0.57291,                0.88942,                 0.7882,                0.83073,                0.87183,                0.72949,                0.63061,                0.50421,                0.82387,             0.00081688,             0.00081688,             0.00081688
                     38,                0.90027,                0.59854,                 0.8984,                0.73215,                0.85363,                0.86666,                0.70623,                0.67008,                0.49347,                0.83115,              0.0008045,              0.0008045,              0.0008045
                     39,                0.84582,                0.56236,                 0.8974,                0.70892,                0.82883,                 0.8475,                0.70977,                0.69062,                0.50173,                0.83448,             0.00079213,             0.00079213,             0.00079213
                     40,                0.91758,                0.59351,                0.89783,                0.63985,                0.81475,                0.84277,                0.66794,                0.67885,                0.52246,                0.83318,             0.00077975,             0.00077975,             0.00077975
                     41,                0.84625,                0.56238,                0.89087,                0.93354,                0.78626,                0.90795,                0.73575,                0.62038,                0.46414,                0.82474,             0.00076738,             0.00076738,             0.00076738
                     42,                0.86101,                0.57984,                0.88855,                0.86973,                0.81699,                0.91072,                0.74531,                0.63149,                0.49634,                0.82272,               0.000755,               0.000755,               0.000755
                     43,                0.85083,                0.56925,                0.88332,                0.75642,                0.86359,                0.90854,                 0.7515,                0.63273,                0.47443,                0.82251,             0.00074263,             0.00074263,             0.00074263
                     44,                0.84867,                 0.5593,                0.87702,                0.69935,                0.92876,                0.93735,                0.78679,                0.71338,                0.51329,                0.83761,             0.00073025,             0.00073025,             0.00073025
                     45,                0.84207,                0.55367,                0.87932,                0.86532,                0.82554,                0.92266,                0.79308,                 0.6532,                0.47256,                0.82612,             0.00071788,             0.00071788,             0.00071788
                     46,                0.83769,                0.56175,                0.87929,                0.93628,                0.82097,                0.89584,                0.75042,                0.63717,                0.45843,                0.82401,              0.0007055,              0.0007055,              0.0007055
                     47,                0.80846,                0.54041,                0.87122,                0.71118,                0.86015,                0.88388,                0.73734,                0.64301,                0.47423,                0.82365,             0.00069313,             0.00069313,             0.00069313
                     48,                0.78259,                0.53545,                0.87113,                0.78212,                0.86074,                0.88497,                0.74029,                0.63895,                0.46375,                0.82239,             0.00068075,             0.00068075,             0.00068075
                     49,                0.81674,                0.54037,                0.87407,                0.93256,                  0.849,                0.87506,                0.72637,                0.63865,                0.45889,                0.82232,             0.00066838,             0.00066838,             0.00066838
                     50,                0.80598,                0.53404,                0.88406,                0.92329,                0.85641,                0.87746,                0.73408,                0.61797,                0.44905,                0.81962,               0.000656,               0.000656,               0.000656
                     51,                0.82172,                0.54615,                0.87792,                0.89747,                0.85871,                0.89248,                  0.756,                0.63639,                0.44635,                0.82016,             0.00064362,             0.00064362,             0.00064362
                     52,                0.79097,                0.52844,                0.87676,                0.93443,                0.83193,                0.90061,                0.76913,                0.59695,                0.43009,                0.81519,             0.00063125,             0.00063125,             0.00063125
                     53,                0.78732,                0.51378,                0.87402,                0.96353,                0.86293,                0.97713,                 0.7391,                0.64958,                0.44197,                0.82305,             0.00061887,             0.00061887,             0.00061887
                     54,                0.81327,                0.51983,                0.87295,                0.93132,                0.88281,                0.98213,                0.81262,                0.63368,                 0.4482,                0.82063,              0.0006065,              0.0006065,              0.0006065
                     55,                0.82246,                 0.5336,                0.88468,                0.95714,                0.89267,                0.99002,                0.84498,                  0.621,                0.44137,                0.81755,             0.00059413,             0.00059413,             0.00059413
                     56,                0.97385,                0.56482,                0.89765,                0.95435,                0.88696,                0.98998,                0.81679,                0.64285,                0.46406,                0.81933,             0.00058175,             0.00058175,             0.00058175
                     57,                0.84419,                0.53725,                0.88006,                 0.9661,                0.90185,                 0.9899,                0.83103,                0.66059,                0.44059,                0.82507,             0.00056938,             0.00056938,             0.00056938
                     58,                0.82238,                0.52085,                0.87776,                0.95585,                0.84176,                 0.9479,                  0.797,                0.59648,                0.41779,                0.81493,               0.000557,               0.000557,               0.000557
                     59,                0.78257,                 0.5067,                0.87547,                0.96497,                0.82027,                0.93576,                0.77266,                 0.6384,                 0.4286,                 0.8225,             0.00054463,             0.00054463,             0.00054463
                     60,                0.80586,                 0.5081,                0.86907,                0.97738,                0.86627,                0.97641,                0.83108,                0.60821,                0.41828,                0.81743,             0.00053225,             0.00053225,             0.00053225
                     61,                0.78317,                 0.4987,                0.87115,                0.93563,                0.96711,                0.98992,                0.83774,                0.60878,                0.40958,                0.81708,             0.00051988,             0.00051988,             0.00051988
                     62,                0.80972,                0.51315,                0.87524,                0.94599,                0.95535,                0.99001,                0.81084,                 0.6182,                0.40908,                 0.8188,              0.0005075,              0.0005075,              0.0005075
                     63,                0.77079,                 0.5007,                0.86381,                0.95692,                0.92493,                0.98988,                0.84481,                0.60327,                 0.4168,                0.81772,             0.00049513,             0.00049513,             0.00049513
                     64,                0.77329,                0.49595,                 0.8651,                0.94905,                0.91487,                0.98988,                0.84948,                0.60393,                 0.4062,                 0.8161,             0.00048275,             0.00048275,             0.00048275
                     65,                0.77256,                0.49644,                0.85712,                0.91934,                0.94022,                0.98571,                0.82959,                 0.6292,                0.42172,                 0.8188,             0.00047038,             0.00047038,             0.00047038
                     66,                0.75112,                 0.4932,                0.85817,                0.92246,                0.96596,                 0.9858,                0.83525,                0.57377,                0.40124,                0.81153,               0.000458,               0.000458,               0.000458
                     67,                0.76192,                0.48361,                0.86402,                0.95299,                   0.98,                0.99002,                 0.8393,                0.63075,                0.41213,                0.81823,             0.00044563,             0.00044563,             0.00044563
                     68,                0.80654,                0.51071,                0.87162,                0.93955,                0.97473,                0.98976,                0.87151,                0.57076,                0.40408,                0.81001,             0.00043325,             0.00043325,             0.00043325
                     69,                0.78522,                0.50116,                0.86353,                0.93206,                0.93699,                 0.9898,                 0.8526,                0.56848,                0.39922,                0.80998,             0.00042087,             0.00042087,             0.00042087
                     70,                0.73601,                0.47873,                0.86166,                0.90518,                0.85444,                0.94886,                0.83253,                0.56222,                0.39354,                0.80928,              0.0004085,              0.0004085,              0.0004085
                     71,                0.74148,                0.48431,                 0.8623,                0.89559,                0.86333,                0.94823,                0.82576,                0.56512,                0.39035,                 0.8095,             0.00039613,             0.00039613,             0.00039613
                     72,                0.71463,                0.46298,                0.85618,                0.92296,                0.86226,                0.90683,                 0.7785,                0.57721,                0.39459,                0.80992,             0.00038375,             0.00038375,             0.00038375
                     73,                0.76327,                0.48356,                0.85968,                0.90911,                0.85526,                0.92761,                 0.7954,                0.58257,                 0.4012,                0.81249,             0.00037138,             0.00037138,             0.00037138
                     74,                0.74075,                0.48082,                0.86586,                0.96758,                0.95232,                0.98978,                0.84613,                0.57375,                0.41136,                0.81135,               0.000359,               0.000359,               0.000359
                     75,                0.74165,                0.47116,                0.86365,                0.91717,                0.84049,                 0.9284,                0.76455,                 0.5859,                0.39794,                0.81226,             0.00034663,             0.00034663,             0.00034663
                     76,                0.73049,                0.47162,                 0.8581,                0.93843,                0.82956,                0.89326,                0.74934,                0.59052,                0.39305,                 0.8109,             0.00033425,             0.00033425,             0.00033425
                     77,                0.70384,                0.46455,                0.85555,                0.94687,                0.82604,                0.89328,                0.75155,                0.56619,                0.38786,                0.80916,             0.00032188,             0.00032188,             0.00032188
                     78,                0.70493,                0.46009,                 0.8579,                0.95803,                0.93709,                0.99056,                0.84948,                0.57357,                 0.3944,                0.81163,              0.0003095,              0.0003095,              0.0003095
                     79,                0.73023,                0.47214,                0.85393,                0.95504,                0.92951,                0.99054,                 0.8415,                0.57355,                0.38114,                0.81271,             0.00029713,             0.00029713,             0.00029713
                     80,                0.72123,                0.46375,                0.85636,                0.89261,                0.83393,                0.90103,                0.77209,                0.56535,                0.38244,                0.81028,             0.00028475,             0.00028475,             0.00028475
                     81,                0.71332,                0.45885,                0.85477,                0.88138,                0.86454,                0.89054,                0.76666,                0.55808,                0.37706,                0.80877,             0.00027237,             0.00027237,             0.00027237
                     82,                0.72438,                0.46201,                0.84908,                0.88848,                0.86371,                0.89611,                0.77274,                0.60403,                0.38349,                0.81399,                0.00026,                0.00026,                0.00026
                     83,                0.70938,                0.45652,                 0.8544,                0.90083,                0.85571,                0.90057,                0.76001,                0.56142,                0.38229,                0.80837,             0.00024762,             0.00024762,             0.00024762
                     84,                0.71719,                0.46318,                0.85199,                0.93442,                 0.8329,                0.90684,                0.78383,                0.56806,                0.38468,                0.81006,             0.00023525,             0.00023525,             0.00023525
                     85,                0.69299,                0.45228,                0.84758,                0.90309,                 0.8508,                0.91528,                0.78628,                0.56553,                0.38117,                0.80966,             0.00022288,             0.00022288,             0.00022288
                     86,                0.70207,                0.45777,                0.84597,                0.94886,                0.94822,                 0.9916,                0.85002,                0.56613,                0.38486,                0.80951,              0.0002105,              0.0002105,              0.0002105
                     87,                0.67231,                0.44111,                0.84664,                0.94071,                0.96526,                0.99161,                0.85248,                0.55805,                0.37748,                0.80799,             0.00019813,             0.00019813,             0.00019813
                     88,                0.66724,                0.44002,                0.84095,                0.89009,                0.83465,                0.92732,                0.79302,                0.55801,                0.37856,                0.80689,             0.00018575,             0.00018575,             0.00018575
                     89,                0.70264,                0.46244,                0.84531,                0.90349,                0.86163,                0.91509,                0.78237,                0.55661,                0.38187,                0.80719,             0.00017338,             0.00017338,             0.00017338
                     90,                0.66868,                0.44202,                 0.8473,                0.90718,                0.85979,                0.92889,                0.77888,                0.56048,                0.37745,                0.80723,               0.000161,               0.000161,               0.000161
                     91,                0.70692,                0.52726,                0.85109,                0.91838,                 0.8598,                0.94948,                0.81072,                0.56462,                0.37657,                0.80844,             0.00014862,             0.00014862,             0.00014862
                     92,                0.65937,                0.47245,                 0.8439,                0.85672,                0.83272,                0.94871,                0.79461,                0.57151,                0.41169,                0.80807,             0.00013625,             0.00013625,             0.00013625
                     93,                 0.6612,                0.46678,                0.84717,                0.82266,                0.81419,                0.90432,                  0.767,                0.56435,                0.40152,                0.80666,             0.00012387,             0.00012387,             0.00012387
                     94,                0.63313,                0.44874,                0.83703,                0.80584,                 0.8061,                0.91029,                 0.7832,                0.56309,                 0.3954,                0.80653,              0.0001115,              0.0001115,              0.0001115
                     95,                0.64606,                0.44102,                 0.8366,                0.85298,                0.83437,                 0.9015,                0.77589,                0.56206,                0.38976,                0.80646,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.63601,                0.43804,                0.82985,                0.92098,                0.81362,                0.90565,                0.76599,                0.56194,                0.38804,                0.80715,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.63998,                0.43236,                0.83621,                0.92831,                0.81317,                 0.9158,                 0.7694,                0.56577,                0.38634,                0.80758,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.62764,                0.43032,                0.83596,                0.92882,                0.81273,                0.91584,                0.76806,                0.56659,                0.38484,                0.80776,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 0.6077,                0.41733,                0.83892,                0.92133,                0.81871,                0.91395,                0.76884,                0.56804,                0.38353,                0.80817,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.61475,                0.42099,                0.83114,                0.92155,                0.81916,                0.91409,                0.78687,                0.55799,                0.38002,                0.80704,              3.725e-05,              3.725e-05,              3.725e-05
